line_number,msg,﻿B,P-010938,1,0000 ,   ,Building Line,BL        
11,"Expected 7 columns, found 8 columns",B,P-068316,3,0087 ,   ,NO STANDING<---->HANDICAP BUS STOP(SYMBOL) W/4 ROUTES +(15X12,4 ROUTE RIDER-IF NECESSARY);REVISED 2/14/94 & SUPERSEDES SP-298B.                                         ,R7-61     
339,"Expected 7 columns, found 8 columns",B,P-237775,9,0233 ,   ,NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (SUPERSEDES SP-186D, SP-193D & SP-211D) (DO NOT USE A/P J.S-K 10/23/09,SP-219D   
346,"Expected 7 columns, found 8 columns",B,P-237775,16,0762 ,   ,NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (SUPERSEDES SP-186D, SP-193D & SP-211D) (DO NOT USE A/P J.S-K 10/23/09,SP-219D   
449,"Expected 7 columns, found 8 columns",B,P-250021,3,0104 ,   ,NO STANDING<---->HANDICAP BUS STOP(SYMBOL) W/4 ROUTES +(15X12,4 ROUTE RIDER-IF NECESSARY);REVISED 2/14/94 & SUPERSEDES SP-298B.                                         ,R7-61     
638,"Expected 7 columns, found 9 columns",B,P-286027,9,0260 ,   ,NO PARKING 7AM-4PM SCHOOL DAYS <----> (SUPERSEDES R7-70,R7-70A , R7-70RA & R7-70R) (SUPERSEDED BY PS-31G)                                                               ,SP-279C   
639,"Expected 7 columns, found 8 columns",B,P-286027,10,0260 ,   ,DEPARTMENT OF EDUCATION (DOE) (SUPERSEDES SP-80G, SP-179G & SP-550G)                                                                                                    ,SP-706G   
641,"Expected 7 columns, found 9 columns",B,P-286027,12,0360 ,   ,NO PARKING 7AM-4PM SCHOOL DAYS <----> (SUPERSEDES R7-70,R7-70A , R7-70RA & R7-70R) (SUPERSEDED BY PS-31G)                                                               ,SP-279C   
642,"Expected 7 columns, found 8 columns",B,P-286027,13,0360 ,   ,DEPARTMENT OF EDUCATION (DOE) (SUPERSEDES SP-80G, SP-179G & SP-550G)                                                                                                    ,SP-706G   
648,"Expected 7 columns, found 9 columns",B,P-286984,3,0041 ,   ,NO PARKING 7AM-4PM SCHOOL DAYS <----> (SUPERSEDES R7-70,R7-70A , R7-70RA & R7-70R) (SUPERSEDED BY PS-31G)                                                               ,SP-279C   
651,"Expected 7 columns, found 8 columns",B,P-286984,6,0163 ,W  ,NO PARKING 7AM-4PM SCHOOL DAYS W/SINGLE ARROW (SUPERSEDES R7-70,R7-70A & R7-70RA) (SUPERSEDED BY PS-31GA)                                                               ,SP-279CA  
1352,"Expected 7 columns, found 8 columns",B,P-300813,9,0219 ,E  ,NO PARKING 7AM-4PM SCHOOL DAYS W/SINGLE ARROW (SUPERSEDES R7-70,R7-70A & R7-70RA) (SUPERSEDED BY PS-31GA)                                                               ,SP-279CA  
1353,"Expected 7 columns, found 8 columns",B,P-300813,10,0269 ,W  ,NO PARKING 7AM-4PM SCHOOL DAYS W/SINGLE ARROW (SUPERSEDES R7-70,R7-70A & R7-70RA) (SUPERSEDED BY PS-31GA)                                                               ,SP-279CA  
1356,"Expected 7 columns, found 8 columns",B,P-300813,13,0391 ,   ,NO STANDING<---->HANDICAP BUS STOP(SYMBOL) W/4 ROUTES +(15X12,4 ROUTE RIDER-IF NECESSARY);REVISED 2/14/94 & SUPERSEDES SP-298B.                                         ,R7-61     
1683,"Expected 7 columns, found 9 columns",B,P-320329,3,0065 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
2268,"Expected 7 columns, found 9 columns",B,P-330644,3,0056 ,E  ,TAXI HAILING (SYMBOL) TAXI STAND --> (SUPERSEDES SP-327BA, SP-433BA, SP555BA & SP-557BA)                                                                                ,PS-10EA   
